,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
65,59,35,171882916.66666666,1,59831000.0,1,0,0,0,0,1,1
66,62,36,137768750.0,2,44086000.0,1,336,0,0,0,0,0
67,53,23,59043750.0,4,31490000.0,3,132,0,1,0,0,0
68,47,21,78725000.0,3,33064500.0,1,0,0,0,0,1,1
69,53,29,26241666.666666668,4,3149000.0,1,0,0,0,0,1,0
70,42,18,150889583.33333334,1,55107500.0,1,0,0,0,0,0,1
71,53,29,90533750.0,4,15745000.0,2,0,0,0,0,1,0
72,44,20,170570833.33333334,1,78725000.0,1,0,0,0,0,0,1
73,41,16,111527083.33333333,1,62980000.0,3,0,0,0,0,1,1
74,28,3,177131250.0,2,51958500.0,1,0,0,0,0,0,1
75,31,7,177131250.0,4,59831000.0,2,0,1,0,1,1,1
76,58,32,15745000.0,3,4723500.0,3,0,0,0,0,0,0
77,46,20,38050416.666666664,3,7872500.0,2,0,0,0,0,0,0
78,54,30,174507083.33333334,2,40937000.0,3,0,1,0,0,0,0
79,50,26,24929583.333333332,2,6298000.0,1,118,0,0,0,1,0
80,60,36,53795416.666666664,4,20468500.0,1,174,0,0,0,1,1
81,47,22,52483333.333333336,3,42511500.0,2,0,0,0,0,1,0
82,41,16,107590833.33333333,1,62980000.0,3,0,0,0,0,1,0
83,33,9,65604166.66666667,1,37788000.0,2,0,0,0,0,0,0
84,46,22,23617500.0,1,14170500.0,3,0,0,0,0,1,0
85,27,2,143017083.33333334,4,28341000.0,3,0,0,0,0,0,0
86,40,16,55107500.0,4,34639000.0,2,126,0,0,0,0,0
87,48,22,102342500.0,3,17319500.0,1,0,0,0,0,1,0
88,65,41,66916250.0,2,17319500.0,1,0,0,0,0,1,0
89,25,1,148265416.66666666,4,36213500.0,3,0,0,0,0,0,1
90,55,30,154825833.33333334,4,88172000.0,2,0,1,0,0,1,0
91,35,10,38050416.666666664,4,17319500.0,3,0,0,0,0,1,0
92,43,19,44610833.333333336,3,9447000.0,2,0,0,0,0,0,0
93,60,34,83973333.33333333,2,26766500.0,3,236,0,1,0,1,0
94,65,39,158762083.33333334,1,31490000.0,1,0,0,0,0,0,0
95,38,12,62980000.0,4,3149000.0,3,0,0,0,0,1,0
96,41,15,104966666.66666667,1,81874000.0,1,0,0,0,0,0,0
97,54,28,211245416.66666666,1,45660500.0,1,0,0,0,0,1,0
98,49,23,123335833.33333333,1,4723500.0,1,0,0,0,0,1,0
99,66,41,19681250.0,3,1574500.0,3,0,0,0,0,1,0
100,48,23,97094166.66666667,1,18894000.0,1,0,0,0,0,1,0
101,61,36,39362500.0,3,20468500.0,2,0,0,0,0,0,0
102,53,23,57731666.666666664,3,15745000.0,3,198,0,0,0,1,1
103,43,18,28865833.333333332,2,4723500.0,2,0,0,0,0,1,0
104,56,32,49859166.666666664,4,20468500.0,1,166,0,0,0,1,1
105,24,0,45922916.666666664,3,1574500.0,2,0,0,1,0,1,0
106,43,17,90533750.0,4,45660500.0,1,0,0,0,0,1,1
107,42,18,56419583.333333336,1,11021500.0,1,136,0,0,0,0,0
108,33,7,41986666.666666664,1,9447000.0,3,166,0,0,0,1,0
109,43,17,64292083.33333333,1,44086000.0,1,0,0,0,0,1,0
110,41,14,11808750.0,3,15745000.0,2,0,0,0,0,0,0
111,62,38,59043750.0,4,20468500.0,2,0,0,0,0,1,0
112,40,15,107590833.33333333,3,15745000.0,1,309,0,0,0,0,0
113,58,34,120711666.66666667,2,44086000.0,1,103,0,0,0,0,0
114,39,14,51171250.0,3,7872500.0,3,0,0,0,0,1,0
115,65,40,106278750.0,3,28341000.0,2,0,0,0,0,1,0
116,54,29,45922916.666666664,1,23617500.0,2,0,0,0,0,1,0
117,58,33,80037083.33333333,2,36213500.0,3,193,0,0,0,1,0
118,41,16,95782083.33333333,3,47235000.0,1,0,0,0,0,1,0
119,32,7,146953333.33333334,1,72427000.0,1,366,0,0,0,0,0
120,54,29,15745000.0,2,3149000.0,3,0,0,0,0,1,0
121,52,26,49859166.666666664,3,14170500.0,3,0,0,0,0,1,0
122,58,32,95782083.33333333,2,11021500.0,2,0,0,0,0,1,1
123,37,13,110215000.0,1,56682000.0,2,0,0,1,0,0,0
124,39,15,102342500.0,4,37788000.0,1,118,0,0,0,1,0
125,60,35,104966666.66666667,3,7872500.0,1,0,0,0,0,1,0
126,31,5,150889583.33333334,2,20468500.0,1,101,0,0,0,1,1
127,34,8,107590833.33333333,1,42511500.0,2,251,0,0,0,1,0
128,38,14,97094166.66666667,2,0.0,1,0,0,1,0,1,0
129,41,16,91845833.33333333,3,7872500.0,3,0,0,0,0,0,1
130,28,4,106278750.0,3,23617500.0,1,276,0,0,0,1,0
131,58,34,195500416.66666666,4,113364000.0,2,0,1,0,1,1,1
132,31,1,66916250.0,2,27553750.0,3,0,0,0,0,0,0
133,30,4,51171250.0,3,17319500.0,2,0,0,0,0,1,0
134,53,29,128584166.66666666,3,28341000.0,2,0,0,0,0,0,0
135,58,33,59043750.0,4,33064500.0,1,0,0,0,0,1,1
136,59,32,64292083.33333333,4,39362500.0,2,0,0,0,0,1,0
137,49,25,167946666.66666666,2,6298000.0,1,0,0,0,0,0,0
138,59,34,55107500.0,3,23617500.0,1,0,0,1,1,0,1
139,59,35,23617500.0,1,18894000.0,3,0,0,0,0,1,0
140,51,25,40674583.333333336,2,6298000.0,3,161,0,0,0,1,1
141,35,11,76100833.33333333,3,31490000.0,1,149,0,0,0,1,1
142,33,9,62980000.0,1,33064500.0,3,0,0,0,0,0,1
143,25,1,70852500.0,4,25192000.0,1,0,0,0,0,1,1
144,49,23,91845833.33333333,2,23617500.0,2,0,0,0,0,0,0
145,59,35,162698333.33333334,1,116513000.0,1,0,0,0,0,0,1
146,46,19,110215000.0,1,42039150.0,2,0,0,0,0,1,1
147,50,25,108902916.66666667,4,56682000.0,3,188,0,0,0,1,0
148,52,28,213869583.33333334,2,6298000.0,1,116,0,0,0,1,0
149,48,22,55107500.0,3,34639000.0,2,0,0,0,0,0,0
150,46,22,154825833.33333334,2,118087500.0,1,0,0,0,1,1,1
151,26,0,173195000.0,3,102342500.0,3,0,1,0,0,0,1
152,57,32,31490000.0,1,20468500.0,1,0,0,0,0,1,1
153,60,36,28865833.333333332,2,15745000.0,1,0,0,1,1,1,1
154,54,29,76100833.33333333,4,20468500.0,3,0,0,0,0,0,0
155,24,0,78725000.0,4,25192000.0,1,0,0,0,0,1,0
156,26,0,19681250.0,4,6298000.0,1,0,0,0,0,0,1
157,41,17,108902916.66666667,4,42039150.0,1,0,0,0,0,1,1
158,32,6,103654583.33333333,2,23617500.0,3,0,0,0,0,1,1
159,61,35,53795416.666666664,4,26766500.0,2,0,0,1,0,1,0
160,29,0,175819166.66666666,4,102342500.0,3,0,1,0,0,0,0
161,61,35,104966666.66666667,2,44086000.0,1,0,0,0,0,1,0
162,38,12,68228333.33333333,1,31490000.0,1,0,0,0,0,0,0
163,28,4,91845833.33333333,4,40937000.0,1,0,0,0,0,1,0
164,53,27,120711666.66666667,2,17319500.0,1,0,0,1,0,0,0
165,27,1,56419583.333333336,1,23617500.0,1,0,0,0,0,1,0
166,25,1,27553750.0,3,15745000.0,2,0,0,0,0,0,0
167,33,9,30177916.666666668,3,14170500.0,3,0,0,0,0,1,1
168,50,26,17057083.333333332,4,15745000.0,1,0,0,0,0,1,0
169,27,1,146953333.33333334,4,33064500.0,3,0,0,0,0,0,1
170,27,1,181067500.0,2,31490000.0,1,0,0,0,0,1,0
171,52,28,14432916.666666666,3,6298000.0,1,0,0,1,0,0,0
172,38,13,224366250.0,2,122811000.0,1,0,0,0,0,1,0
173,58,34,55107500.0,4,23617500.0,1,0,0,0,0,1,1
174,42,17,220430000.0,2,124385500.0,2,0,1,0,0,1,0
175,45,20,111527083.33333333,4,17319500.0,2,0,0,1,0,1,0
176,52,25,57731666.666666664,3,15745000.0,2,135,0,0,0,1,0
177,29,3,85285416.66666667,4,28341000.0,2,244,0,0,0,0,0
178,53,29,31490000.0,4,3149000.0,1,0,0,0,0,1,1
179,62,37,14432916.666666666,1,1574500.0,1,0,0,0,0,1,0
180,51,27,49859166.666666664,2,15745000.0,3,164,0,0,0,1,0
181,36,12,13120833.333333334,4,11021500.0,2,81,0,0,0,0,0
182,24,0,177131250.0,1,23617500.0,1,0,0,0,0,1,0
183,29,3,194188333.33333334,3,64554499.99999999,1,0,1,0,0,1,0
184,52,26,82661250.0,2,23617500.0,2,0,0,1,0,1,0
185,39,14,150889583.33333334,1,15745000.0,3,0,0,0,0,1,0
186,48,23,59043750.0,1,4723500.0,1,0,0,0,0,1,1
187,46,21,208621250.0,3,29915500.0,3,315,1,0,0,1,0
188,64,40,221742083.33333334,2,33064500.0,1,122,0,0,0,1,0
189,55,29,146953333.33333334,2,22043000.0,1,0,0,0,0,1,0
190,60,36,122023750.0,1,67703500.0,1,0,0,0,0,1,0
191,51,25,38050416.666666664,1,4723500.0,3,140,0,0,0,0,0
192,50,23,111527083.33333333,1,42039150.0,2,0,0,0,0,1,0
193,48,24,27553750.0,4,9447000.0,1,0,0,0,0,1,1
194,53,29,188940000.0,2,107066000.0,1,0,0,0,0,1,0
195,34,10,17057083.333333332,4,15745000.0,1,95,0,1,0,1,0
196,48,24,216493750.0,1,78725000.0,1,0,0,0,0,0,1
197,55,31,11808750.0,4,11021500.0,1,89,0,0,0,1,0
198,27,3,77412916.66666667,4,0.0,1,90,0,1,0,1,0
199,36,11,207309166.66666666,1,80299500.0,3,0,1,0,1,1,1
200,32,6,38050416.666666664,1,29915500.0,3,0,0,0,0,1,1
201,35,9,26241666.666666668,2,22043000.0,3,0,0,0,0,1,1
202,30,3,89221666.66666667,4,31490000.0,2,0,0,0,0,1,0
203,58,34,85285416.66666667,4,34639000.0,1,0,0,0,0,1,0
204,56,31,80037083.33333333,2,29915500.0,2,105,0,0,0,0,0
205,38,12,119399583.33333333,4,22043000.0,2,100,0,0,0,0,1
206,49,25,40674583.333333336,1,15745000.0,1,0,0,1,0,1,0
207,34,10,93157916.66666667,4,1574500.0,2,0,0,0,0,0,0
208,40,16,95782083.33333333,4,42039150.0,1,0,0,0,0,1,1
209,64,39,225678333.33333334,4,48809500.0,1,282,1,0,1,1,1
210,51,26,26241666.666666668,2,0.0,1,0,0,0,0,0,0
211,44,18,72164583.33333333,1,3149000.0,1,0,0,0,0,0,0
212,46,22,90533750.0,2,26766500.0,1,209,0,0,0,0,0
213,57,33,203372916.66666666,1,116513000.0,1,0,0,0,0,1,0
214,54,28,123335833.33333333,1,29915500.0,2,0,0,0,0,0,0
215,38,14,120711666.66666667,2,0.0,1,249,0,0,0,1,1
216,27,3,164010416.66666666,2,9447000.0,1,0,0,0,0,0,0
217,39,14,97094166.66666667,3,47235000.0,1,0,0,0,0,0,0
218,44,20,94470000.0,3,4723500.0,3,0,0,0,0,1,0
219,56,30,80037083.33333333,1,34639000.0,3,0,0,0,0,1,1
220,32,6,32802083.333333336,2,4723500.0,1,0,0,0,0,0,1
221,45,19,108902916.66666667,2,26766500.0,2,0,0,0,0,1,0
222,26,2,136456666.66666666,3,39362500.0,1,0,0,0,0,0,0
223,55,25,53795416.666666664,3,15745000.0,3,0,0,0,0,1,0
224,52,27,76100833.33333333,4,28341000.0,3,91,0,0,0,0,0
225,39,13,122023750.0,1,23617500.0,3,0,0,0,0,0,1
226,24,1,51171250.0,2,26766500.0,2,0,0,0,0,0,0
227,47,23,194188333.33333334,2,118087500.0,1,0,0,0,1,1,1
228,47,22,69540416.66666667,4,29915500.0,3,98,0,1,1,0,1
229,48,24,93157916.66666667,2,26766500.0,1,145,0,0,0,0,1
230,47,22,120711666.66666667,1,44086000.0,2,0,0,0,0,1,0
231,35,10,80037083.33333333,4,33064500.0,3,0,0,0,0,1,0
232,46,19,49859166.666666664,3,39362500.0,2,135,0,0,0,0,0
233,62,37,76100833.33333333,4,26766500.0,1,0,0,0,0,1,0
234,26,1,104966666.66666667,1,12596000.0,2,150,0,0,0,0,0
235,38,8,93157916.66666667,4,28341000.0,3,0,0,0,0,1,0
236,43,18,116775416.66666667,3,7872500.0,3,0,0,0,0,1,1
237,62,38,108902916.66666667,1,28341000.0,3,0,0,0,0,1,0
238,57,32,36738333.333333336,3,3149000.0,1,0,0,0,0,1,1
239,28,3,68228333.33333333,4,26766500.0,2,0,0,0,0,0,0
240,51,26,91845833.33333333,1,18894000.0,1,169,0,0,0,0,0
241,48,22,93157916.66666667,1,22043000.0,3,0,0,0,0,0,1
242,41,16,98406250.0,1,58256500.0,3,280,0,0,0,0,0
243,65,39,223054166.66666666,3,124385500.0,3,99,1,0,1,1,0
244,41,17,102342500.0,4,12596000.0,1,78,0,0,0,1,0
245,35,11,32802083.333333336,2,15745000.0,2,0,0,0,0,0,0
246,38,14,78725000.0,2,9447000.0,3,0,0,0,0,1,1
247,53,29,157450000.0,4,42511500.0,2,111,1,1,1,1,0
248,55,29,129896250.0,2,22043000.0,1,264,0,0,0,1,1
249,26,1,72164583.33333333,3,40937000.0,3,113,0,0,0,0,1
250,30,6,38050416.666666664,3,15745000.0,2,117,0,0,0,0,0
251,54,28,223054166.66666666,2,97619000.0,2,325,1,0,0,1,0
252,65,40,69540416.66666667,3,34639000.0,1,0,0,0,0,0,1
253,47,21,181067500.0,1,0.0,1,0,0,0,0,0,0
254,65,41,175819166.66666666,3,61405500.0,3,121,1,0,0,1,0
255,66,40,55107500.0,2,11021500.0,3,138,0,0,0,0,1
256,26,0,129896250.0,4,36213500.0,3,0,0,0,0,0,1
257,66,41,23617500.0,3,7872500.0,1,0,0,0,0,0,1
258,35,9,31490000.0,4,4723500.0,1,0,0,0,0,1,0
259,56,30,72164583.33333333,1,22043000.0,1,77,0,0,0,1,0
260,51,27,76100833.33333333,1,0.0,1,0,0,0,0,0,1
261,42,16,145641250.0,2,18894000.0,3,251,1,0,0,1,0
262,49,23,43298750.0,1,4723500.0,3,0,0,0,1,1,1
263,27,1,97094166.66666667,4,28341000.0,2,112,0,0,0,1,1
264,45,19,49859166.666666664,2,11021500.0,1,0,0,0,0,0,0
265,49,23,30177916.666666668,4,9447000.0,3,98,0,1,0,0,0
266,63,38,80037083.33333333,2,23617500.0,1,0,0,0,0,1,0
267,47,22,106278750.0,1,45660500.0,1,138,0,0,0,0,0
268,64,39,169258750.0,1,39362500.0,1,0,0,0,0,1,0
269,43,13,43298750.0,1,11808750.0,3,0,0,0,0,0,0
270,60,36,82661250.0,4,34639000.0,1,0,0,0,0,1,0
271,40,14,91845833.33333333,4,22043000.0,2,0,0,0,0,1,0
272,29,3,59043750.0,4,3149000.0,1,158,0,0,0,1,1
273,41,16,85285416.66666667,3,7872500.0,3,0,0,0,0,1,0
274,30,5,97094166.66666667,4,34639000.0,1,0,0,1,0,0,1
275,49,24,65604166.66666667,4,28341000.0,3,0,0,1,0,0,0
276,30,5,28865833.333333332,4,7872500.0,3,109,0,0,0,1,0
277,29,2,39362500.0,4,15745000.0,3,0,0,0,0,0,0
278,50,26,27553750.0,4,15745000.0,1,0,0,0,0,1,0
279,39,14,203372916.66666666,2,61405500.0,1,0,0,0,0,1,0
280,33,8,83973333.33333333,4,33064500.0,3,164,0,0,0,1,0
281,57,31,85285416.66666667,4,40937000.0,3,0,0,0,0,0,1
282,34,9,93157916.66666667,4,11021500.0,3,0,0,0,0,1,0
283,61,36,52483333.333333336,3,7872500.0,2,0,0,1,0,1,0
284,44,19,90533750.0,3,7872500.0,3,0,0,0,0,1,0
285,40,13,90533750.0,3,36685850.0,2,0,0,0,0,0,0
286,51,25,59043750.0,3,9447000.0,2,131,0,0,0,1,0
287,37,12,81349166.66666667,3,11021500.0,2,0,0,0,0,0,1
288,44,19,225678333.33333334,2,67703500.0,3,391,1,1,1,1,0
289,42,15,31490000.0,3,15745000.0,2,0,0,0,0,1,1
290,51,25,104966666.66666667,1,77150500.0,1,0,0,0,0,0,0
291,43,16,10496666.666666666,3,10549150.000000002,2,88,0,0,0,1,0
292,30,5,49859166.666666664,4,12596000.0,1,129,0,0,0,1,1
293,45,19,122023750.0,4,40937000.0,3,0,0,0,0,0,0
294,35,9,72164583.33333333,1,31490000.0,1,0,0,0,0,1,0
295,60,34,83973333.33333333,2,26766500.0,3,0,0,0,0,0,1
296,34,9,160074166.66666666,1,0.0,1,0,0,0,0,1,0
297,55,25,91845833.33333333,3,22043000.0,3,0,0,0,0,1,0
298,43,19,106278750.0,2,50384000.0,1,0,0,0,0,0,0
299,41,15,208621250.0,1,86597500.0,3,0,1,0,1,1,0
300,34,9,91845833.33333333,4,20468500.0,1,0,0,1,0,0,0
301,65,39,196812500.0,2,108640500.0,1,196,0,0,0,0,0
302,45,21,199436666.66666666,2,118087500.0,1,0,0,0,0,1,0
303,49,25,255856250.0,4,47235000.0,1,617,1,0,0,0,0
304,48,23,28865833.333333332,1,1574500.0,1,0,0,0,0,0,0
305,60,35,28865833.333333332,1,20468500.0,1,123,0,0,0,1,0
306,55,29,103654583.33333333,3,12596000.0,1,0,0,0,0,1,1
307,42,18,43298750.0,1,22043000.0,3,0,0,0,0,1,0
308,32,8,167946666.66666666,2,68175850.0,1,0,0,0,1,1,1
309,62,38,119399583.33333333,1,59831000.0,1,0,0,1,0,1,0
310,57,32,51171250.0,4,14170500.0,1,0,0,0,0,1,1
311,52,26,158762083.33333334,1,114938500.0,1,167,0,0,0,1,0
312,36,6,27553750.0,1,10549150.000000002,3,0,0,1,0,1,0
313,34,9,53795416.666666664,3,36213500.0,1,0,0,0,0,0,1
314,63,37,59043750.0,2,11021500.0,3,0,0,0,0,1,0
315,24,2,66916250.0,3,4723500.0,3,0,0,0,0,1,0
316,57,31,216493750.0,1,25192000.0,2,0,1,0,0,1,0
317,40,16,156137916.66666666,2,66129000.0,2,0,1,0,0,1,0
318,27,2,144329166.66666666,4,28341000.0,3,190,0,0,0,1,0
319,65,39,26241666.666666668,3,11021500.0,2,0,0,0,0,0,1
320,60,34,83973333.33333333,1,12596000.0,2,248,0,0,0,0,0
321,44,20,132520416.66666666,3,69278000.0,2,82,1,0,0,0,0
322,63,39,132520416.66666666,1,61405500.0,1,0,1,1,1,1,0
323,59,34,129896250.0,1,69278000.0,1,0,1,0,0,0,0
324,56,30,207309166.66666666,4,96044500.0,1,0,1,0,0,0,0
325,54,28,116775416.66666667,1,29915500.0,2,0,0,0,0,1,1
326,52,27,104966666.66666667,1,20468500.0,3,0,0,0,1,1,1
327,58,32,149577500.0,2,31490000.0,1,402,0,0,0,1,0
328,60,35,64292083.33333333,3,7872500.0,2,0,0,0,0,1,1
329,28,4,250607916.66666666,1,99665850.0,1,0,0,0,0,1,0
330,54,30,102342500.0,4,15745000.0,2,0,0,0,0,1,0
331,32,6,36738333.333333336,3,15745000.0,1,0,0,0,0,0,0
332,59,33,55107500.0,1,12596000.0,2,0,0,0,0,1,0
333,63,38,183691666.66666666,1,39362500.0,1,0,0,0,0,0,0
334,48,23,59043750.0,1,20468500.0,2,0,0,0,0,1,0
335,56,32,160074166.66666666,2,4723500.0,1,360,0,0,1,1,1
336,36,12,85285416.66666667,3,40937000.0,2,0,0,0,0,1,0
337,57,27,89221666.66666667,1,22043000.0,3,0,0,0,0,1,0
338,29,3,200748750.0,2,31490000.0,1,392,0,0,0,0,0
339,39,13,116775416.66666667,4,22043000.0,2,0,0,0,0,0,0
340,59,34,119399583.33333333,1,40937000.0,1,0,0,0,0,1,1
341,31,6,72164583.33333333,4,31490000.0,2,185,0,0,0,1,0
342,43,19,154825833.33333334,2,51958500.0,1,0,0,0,0,0,1
343,35,5,28865833.333333332,1,10549150.000000002,3,103,0,0,0,0,0
344,54,24,82661250.0,3,22043000.0,3,138,0,0,0,1,1
345,51,27,15745000.0,4,7872500.0,2,78,0,1,0,1,0
346,44,19,65604166.66666667,3,42511500.0,2,0,0,0,0,1,0
347,25,0,56419583.333333336,2,25192000.0,3,0,0,1,1,1,1
348,40,15,226990416.66666666,4,103917000.0,1,0,1,0,1,1,1
349,26,2,78725000.0,2,47235000.0,1,132,1,0,0,0,0
350,39,14,148265416.66666666,1,15745000.0,3,0,0,1,0,1,0
351,28,4,203372916.66666666,4,83448500.0,2,0,1,0,0,1,0
352,52,28,119399583.33333333,4,15745000.0,2,0,0,0,0,0,1
353,53,29,72164583.33333333,4,17319500.0,2,0,0,0,0,1,0
354,44,20,226990416.66666666,2,22043000.0,1,419,0,0,0,1,0
355,43,19,93157916.66666667,3,4723500.0,3,0,0,0,0,0,1
356,56,30,31490000.0,2,6298000.0,3,88,0,0,0,0,0
357,38,14,55107500.0,1,31490000.0,2,81,0,0,0,1,0
358,30,6,185003750.0,2,68175850.0,1,0,0,0,0,1,0
359,32,6,41986666.666666664,1,29915500.0,3,0,0,0,0,1,0
360,35,10,72164583.33333333,4,20468500.0,1,0,0,0,0,0,0
361,43,19,200748750.0,2,118087500.0,1,0,0,0,0,1,0
362,58,32,148265416.66666666,2,22043000.0,1,270,0,0,0,0,1
363,25,0,39362500.0,2,26766500.0,2,0,0,0,0,0,0
364,54,24,38050416.666666664,3,15745000.0,3,148,0,0,0,0,1
365,57,32,228302500.0,1,107066000.0,2,466,1,0,0,1,0
366,50,24,45922916.666666664,1,4723500.0,3,0,0,0,0,1,0
367,32,8,128584166.66666666,2,31490000.0,2,175,0,0,0,1,0
368,63,37,39362500.0,2,15745000.0,3,159,0,0,0,1,0
369,31,6,76100833.33333333,2,39362500.0,1,0,0,0,0,0,1
370,36,12,32802083.333333336,4,15745000.0,1,147,0,0,0,0,0
371,58,34,24929583.333333332,4,11021500.0,1,0,0,0,0,0,0
372,56,30,57731666.666666664,4,11021500.0,2,174,0,0,0,1,0
373,49,25,26241666.666666668,4,15745000.0,1,111,0,0,0,1,1
374,30,5,128584166.66666666,2,48809500.0,1,220,0,0,0,1,0
375,33,7,118087500.0,3,25192000.0,1,0,0,0,0,1,0
376,45,21,80037083.33333333,3,11021500.0,1,0,0,0,0,0,0
377,30,5,52483333.333333336,4,31490000.0,2,0,0,0,0,1,0
378,47,23,49859166.666666664,2,33064500.0,3,0,0,0,0,0,0
379,25,0,36738333.333333336,2,26766500.0,2,0,0,0,0,0,0
380,63,33,44610833.333333336,1,23617500.0,3,0,0,0,0,1,1
381,55,29,95782083.33333333,2,36213500.0,3,0,0,0,0,1,1
382,65,41,174507083.33333334,4,31490000.0,1,0,1,0,0,0,1
383,44,18,69540416.66666667,1,3149000.0,1,0,0,0,0,1,0
384,51,25,27553750.0,4,9447000.0,3,0,0,0,0,1,1
385,35,9,52483333.333333336,3,14170500.0,1,0,0,0,0,1,0
386,30,5,53795416.666666664,4,26766500.0,2,0,0,0,0,1,0
387,31,5,107590833.33333333,4,28341000.0,2,0,0,0,0,1,0
388,54,30,131208333.33333334,4,53533000.0,3,0,1,0,0,0,0
389,45,20,203372916.66666666,1,110215000.0,1,0,0,0,0,1,1
390,45,19,59043750.0,1,3149000.0,1,0,0,0,0,1,0
391,58,32,11808750.0,3,4723500.0,3,0,0,0,0,0,1
392,54,29,62980000.0,4,28341000.0,3,0,0,0,0,1,0
